italian,medieval
"O Alberto d'Asburgo, che abbandoni questa bestia divenuta indomabile e selvaggia, mentre dovresti inforcare i suoi arcioni, possa cadere dal cielo contro di te e la tua famiglia un giusto castigo, e sia straordinario ed evidente, così che il tuo successore ne abbia timore","O Alberto tedesco ch’abbandoni costei ch’è fatta indomita e selvaggia, e dovresti inforcar li suoi arcioni,  giusto giudicio da le stelle caggia sovra ‘l tuo sangue, e sia novo e aperto, tal che ‘l tuo successor temenza n’aggia"
poi gridò forte:,poi gridò forte:
"Ma poiché il tempo vola e gli anni fuggono, sicché in un attimo si giunge alla morte, da giovane o da vecchio, io continuerò a seguire la dolce ombra di quel lauro, attraverso il sole più infuocato, e attraverso le distese di neve, finché l'ultimo giorno della mia vita chiuderò questi miei occhi.","Ma perché vola il tempo e fuggon gli anni sí ch'a la morte in un punto s'arriva o colle brune o colle bianche chiome seguirò l'ombra di quel dolce lauro per lo piú ardente sole e per la neve, fin che l'ultimo dí chiuda quest'occhi."
"Ma quella riverenza che si impossessa tutta di me, al solo sentire le sillabe 'Be' e 'ice', mi faceva chinare la testa come colui che è preso dal sonno","Ma quella reverenza che s’indonna di tutto me, pur per Be e per ice, mi richinava come l’uom ch’assonna"
"Il maestro domandò poi al dannato chi fosse, per cui rispose:","Lo duca il domandò poi chi ello era, per ch’ei rispuose:"
"E sii certo che io ti sarò sempre al fianco, se mai avverrà ancora che il destino ti conduca dove ci siano genti che litigano in questo modo: infatti, voler ascoltare certe risse è volontà vile","E fa ragion ch’io ti sia sempre allato, se più avvien che fortuna t’accoglia dove sien genti in simigliante piato:  ché voler ciò udire è bassa voglia"
"Sì, e di questo non chiedo spiegazioni","Sì, e qui ragion non cheggio"
"Io ho già visto all'inizio del giorno la parte orientale tutta di colore roseo, e il resto del cielo adornato da un bel colore sereno","Io vidi già nel cominciar del giorno la parte oriental tutta rosata, e l’altro ciel di bel sereno addorno"
"Il mio maestro non disse nulla, finché apparve che il primo biancore erano delle ali","Lo mio maestro ancor non facea motto, mentre che i primi bianchi apparver ali"
"Nella speranza che la mia vita riesca a trovare riparo da questo grande tormento, tanto da riuscire a vedere, in virtù dell'età avanzata, o donna, spenta la luce dei vostri occhi belli, e i capelli color d'oro diradarsi e farsi bianchi, e abbandonare le ghirlande e i segni della gioventù, e scolorire il viso che mi ha reso timoroso e incerto a lamentarmi dei miei dolori.","Se la mia vita da l'aspro tormento si può tanto schermire, e dagli affanni, ch' i' veggia per vertù de gli ultimi anni, donna, de' be' vostr'occhi il lume spento, e i cape' d'oro fin farsi d'argento, e lassar le ghirlande e i verdi panni, e 'l viso scolorir, che ne' miei danni a lamentar mi fa pauroso e lento."
"Ora, sappi che l'avarizia fu troppo lontana da me, e questo eccesso è stato punito da migliaia di mesi trascorsi in Purgatorio","Or sappi ch’avarizia fu partita troppo da me, e questa dismisura migliaia di lunari hanno punita"
"Vedevo lui che si chinava a terra ormai quasi morente, ma rivolgeva gli occhi verso il cielo e pregava il Signore, nonostante tanta violenza, di perdonare i suoi persecutori, con quell'aspetto che genera pietà","E lui vedea chinarsi, per la morte che l’aggravava già, inver’ la terra, ma de li occhi facea sempre al ciel porte, orando a l’alto Sire, in tanta guerra, che perdonasse a’ suoi persecutori, con quello aspetto che pietà diserra"
"Qui è mattino, quando nell'altro emisfero è sera","Qui è da man, quando di là è sera"
"Quando essi si furono placati un poco, il mio maestro chiese subito al dannato, che ancora guardava la sua ferita","Quand’elli un poco rappaciati fuoro, a lui, ch’ancor mirava sua ferita, domandò ’l duca mio sanza dimoro:"
"Dobbiamo salire una scala ben più ardua, non è sufficiente esserci separati da questi dannati e se mi capisci fa' in modo che ciò ti giovi","Più lunga scala convien che si saglia, non basta da costoro esser partito e se tu mi ’ntendi, or fa sì che ti vaglia"
"ma per la mia vista che si accresceva man mano che guardavo, al mio mutare interiore quell'unico aspetto si trasformava ai miei occhi","ma per la vista che s’avvalorava in me guardando, una sola parvenza, mutandom’io, a me si travagliava"
"Quindi giungemmo al punto dove il secondo girone si divide dal terzo, e dove si vede la terribile punizione divina","Indi venimmo al fine ove si parte lo secondo giron dal terzo, e dove si vede di giustizia orribil arte"
"Parlerò solo del primo, poiché elogiando uno dei due è come se si parlasse di entrambi, in quanto le loro opere ebbero il medesimo fine","De l’un dirò, però che d’amendue si dice l’un pregiando, qual ch’om prende, perch’ad un fine fur l’opere sue"
"E da questa fede dobbiamo fare deduzioni logiche, senza avere prove tangibili: dunque prende il nome di dimostrazione","E da questa credenza ci convene silogizzar, sanz’avere altra vista: però intenza d’argomento tene"
"infatti, se la Gorgone si mostrasse e tu la vedessi, non avresti alcuna speranza di tornare sulla Terra","ché‚ se ’l Gorgón si mostra e tu ’l vedessi, nulla sarebbe di tornar mai suso"
"Allora il mio maestro, meravigliato, disse:","Allora il mio segnor, quasi ammirando, disse:"
"e se rimane, ditegli in che modo, dopo esservi rivestiti del vostro corpo, essa non potrà danneggiare la vostra vista","e se rimane, dite come, poi che sarete visibili rifatti, esser porà ch’al veder non vi nòi"
"Allora mi rivolsi al poeta, e lui disse:","Allor mi volsi al poeta, e quei disse:"
Voi chi siete,"Voi, chi siete"
"e anche le altre anime la seguirono con devozione e dolcezza per la durata intera dell'inno, fissando il cielo","e l’altre poi dolcemente e devote seguitar lei per tutto l’inno intero, avendo li occhi a le superne rote"
"Solo in una spiaggia solitaria, in riva ad un fiume o presso una fonte o in una valle ombrosa posta tra due alture, solo lì trova quiete la mia anima turbata.","Se 'n solitaria piaggia, rivo o fonte, se 'nfra duo poggi siede ombrosa valle, ivi s' acqueta l' alma sbigottita."
"Figlio mio, cerca di arrivare fin qui","Figliuol mio, infin quivi ti tira"
Io dissi:,"diss’io,"
"Adesso tu hai un dubbio, e dubitando resti in silenzio",Or dubbi tu e dubitando sili
"e mi mostrò di essersi rivolta ad altro, dato che ricominciò a danzare in tondo come faceva in precedenza","e fecemi sembiante che fosse ad altro volta, per la rota in che si mise com’era davante"
Beatrice guardava in alto e io in lei,"Beatrice in suso, e io in lei guardava"
Noi procederemo in questa giornata quanto più potremo,Noi anderem con questo giorno innanzi quanto più potremo omai
"Passate oltre senza avvicinarvi: più in alto, nell'Eden, c'è un altro albero il cui frutto fu morso da Eva e questo è nato da quella pianta","Trapassate oltre sanza farvi presso: legno è più sù che fu morso da Eva, e questa pianta si levò da esso"
"Se le tue dita non sono in grado di sciogliere questo nodo, non c'è da stupirsi: a tal punto esso è stretto, poiché nessuno ha mai tentato di sbrogliarlo","Se li tuoi diti non sono a tal nodo sufficienti, non è maraviglia: tanto, per non tentare, è fatto sodo"
poi aggiunse:,poi disse:
"E nella mente di Dio che è perfetta di per sé, non sono determinate solo le varie nature, ma insieme ad esse anche il loro fine:infatti, qualunque cosa sia indirizzata dagli influssi celesti, si attua con un fine ben preciso e determinato, proprio come una freccia diretta contro un bersaglio","E non pur le nature provedute sono in la mente ch’è da sé perfetta, ma esse insieme con la lor salute: per che quantunque quest’arco saetta disposto cade a proveduto fine, sì come cosa in suo segno diretta"
"e non vidi nulla, e tornai a guardare avanti negli occhi della mia dolce guida, che, sorridendo, ardeva nel suo sguardo pieno di santità","e nulla vidi, e ritorsili avanti dritti nel lume de la dolce guida, che, sorridendo, ardea ne li occhi santi"
"allo stesso modo Beatrice eliminò ogni impurità dai miei occhi col fulgore dei suoi, che risplendeva a mille miglia di distanza:così vidi meglio di prima","così de li occhi miei ogni quisquilia fugò Beatrice col raggio d’i suoi, che rifulgea da più di mille milia: onde mei che dinanzi vidi poi"
"e la notte aveva fatto due dei passi con cui sale, nel luogo dove noi eravamo, e il terzo era quasi compiuto","e la notte, de’ passi con che sale, fatti avea due nel loco ov’eravamo, e ‘l terzo già chinava in giuso l’ale"
"Mi disse: - Beatrice, autentica lode di Dio, perché non soccorri colui che ti amò al punto da elevarsi al di sopra della schiera volgare","Disse: - Beatrice, loda di Dio vera, ché‚ non soccorri quei che t’amò tanto, ch’uscì per te de la volgare schiera"
"La città di Buggea e quella dove nacqui, che versò tanto sangue nel porto, hanno quasi la stessa alba e lo stesso orizzonte","Ad un occaso quasi e ad un orto Buggea siede e la terra ond’io fui, che fé del sangue suo già caldo il porto"
"Ieri, cinque ore più tardi dell'ora presente, si compirono anni da quando il ponte è crollato","Ier, più oltre cinqu’ore che quest’otta, mille dugento con sessanta sei anni compié che qui la via fu rotta"
"Padre del cielo, dopo i giorni passati inutilmente, dopo le notti trascorse in pensieri fuorvianti, tormentato da quel desiderio spietato che divampò nel mio cuore contemplando i gesti di lei, tanto affascinanti per mia sventura, fa sì che ormai, aiutato dalla tua grazia, io mi rivolga a una vita più degna e ad azioni più dignitose, in modo che il demonio, mio inesorabile avversario, dopo aver cercato senza successo di irretirmi, fallisca nel suo intento.","Padre del ciel, dopo i perduti giorni, dopo le notti vaneggiando spese con quel fero desio ch' al cor s'accese, mirando gli atti per mio mal sí adorni, piacciati omai, col tuo lume, ch' io torni ad altra vita e a piú belle imprese, sí ch' avendo le reti indarno tese, il mio duro avversario se ne scorni."
"Il terzo, che è più alto di tutti, mi sembrava di porfido ed era così fiammeggiante che sembrava sangue che zampilla da una vena","Lo terzo, che di sopra s’ammassiccia, porfido mi parea, sì fiammeggiante, come sangue che fuor di vena spiccia"
dal quale non era possibile scansarsi,né da quello era loco da cansarsi
"Il punto in cui eravamo non era un percorso agevole come in un palazzo, ma una cavità sotterranea che aveva il suolo impervio e ben poca luce","Non era camminata di palagio là ’v’eravam, ma natural burella ch’avea mal suolo e di lume disagio"
"Oh, quanto è grande la ricchezza che è contenuta in quelle arche, che furono in Terra buone contadine a seminare il bene",Oh quanta è l’ubertà che si soffolce in quelle arche ricchissime che fuoro a seminar qua giù buone bobolce
Sembra presente in lei ogni dote.,Tutto valor in lei par che si metta.
"Beatrice mi guardò con gli occhi pieni di scintille di amore così vive, che la mia virtù visiva, vinta, venne meno e per poco non mi smarrii con gli occhi bassi","Beatrice mi guardò con li occhi pieni di faville d’amor così divini, che, vinta, mia virtute diè le reni, e quasi mi perdei con li occhi chini"
"O Ugolino dei Fantolini, il tuo nome è sicuro dal momento che, non avendo eredi degeneri, non teme di diventare oscuro","O Ugolin de’ Fantolin, sicuro è il nome tuo, da che più non s’aspetta chi far lo possa, tralignando, scuro"
Allora non potevo né volevo dirtelo.,I' non tel potei dir allor né volli.
"Pasifae entra nella vacca di legno, perché il toro corra a soddisfare la sua lussuria","Ne la vacca entra Pasife, perché ’l torello a sua lussuria corra"
Credo di essermi stupito molto,"Di maraviglia, credo, mi dipinsi"
"Come i beati risorgeranno solleciti all'ultima chiamata, ognuno dalla sua tomba, cantando alleluia con la voce proveniente dal corpo di cui si saranno rivestiti, così sul carro divino si alzarono cento ministri e messaggeri di vita eterna, in risposta alla voce di un vecchio tanto autorevole","Quali i beati al novissimo bando surgeran presti ognun di sua caverna, la revestita voce alleluiando, cotali in su la divina basterna si levar cento, ad vocem tanti senis, ministri e messaggier di vita etterna"
"Quel peccatore sollevò la bocca dal feroce pasto, pulendola coi capelli della testa che aveva addentato da dietro","La bocca sollevò dal fiero pasto quel peccator, forbendola a’capelli del capo ch’elli avea di retro guasto"
O compagnia invitata a partecipare all'alta cena dell'Agnello di Dio da cui proviene ciò che egli pensa,"O sodalizio eletto a la gran cena del benedetto Agnello, il qual vi ciba sì, che la vostra voglia è sempre piena, se per grazia di Dio questi preliba di quel che cade de la vostra mensa, prima che morte tempo li prescriba, ponete mente a l’affezione immensa e roratelo alquanto: voi bevete sempre del fonte onde vien quel ch’ei pensa"
Costei chiese di parlare a Lucia e le disse: - Ora il tuo fedele ha bisogno di te e io a te lo raccomando -,"Questa chiese Lucia in suo dimando e disse: - Or ha bisogno il tuo fedele di te, e io a te lo raccomando -"
La sua vista mi aveva abbagliato,L’aspetto suo m’avea la vista tolta
Apri la mente a quello che ti spiego e fissalo nella memoria,Apri la mente a quel ch’io ti paleso e fermalvi entro
Un tempo si faceva guerra di solito con le spade,Già si solea con le spade far guerra
Le sue parole e il fatto che fosse tra gli Epicurei mi avevano fatto capire il nome di costui,Le sue parole e ’l modo de la pena m’avean di costui già letto il nome
Il disappunto richiama con forza la ragione che si perde dietro alle passioni che coinvolgono i sensi.,E questo ad alta voce anco richiama la ragione sviata dietro ai sensi.
"E Dionigi Areopagita si mise con tanto desiderio a contemplare questi ordini, che li elencò e li nominò come ho fatto io","E Dionisio con tanto disio a contemplar questi ordini si mise, che li nomò e distinse com’io"
"Anima tanto nobile che meriterebbe di esser regina, se non fossi fra noi scesa così tardi!","Alma real, dignissima d' impero se non fossi fra noi scesa sí tardo!"
la filosofia va in giro povera e nuda,Povera e nuda vai filosofia
Credo che le differenze di luminosità degli astri siano causate dalla differente densità del corpo stellare,Ciò che n’appar qua sù diverso credo che fanno i corpi rari e densi
"infatti in Cielo, quanto più numerosi sono coloro che godono di un bene, tanto maggiore è il bene posseduto, e più carità arde in quel sacro luogo","ché, per quanti si dice più lì ‘nostro’, tanto possiede più di ben ciascuno, e più di caritate arde in quel chiostro"
Io iniziai:,Io cominciai:
"Bisogna parlare così al vostro ingegno, poiché apprende solo attraverso i sensi ciò che poi diventa oggetto di conoscenza intellettiva","Così parlar conviensi al vostro ingegno, però che solo da sensato apprende ciò che fa poscia d’intelletto degno"
"Per questo il Vangelo e i libri dei Padri della Chiesa sono trascurati, e si leggono solo i Decretali, come appare dai loro margini sgualciti","Per questo l’Evangelio e i dottor magni son derelitti, e solo ai Decretali si studia, sì che pare a’ lor vivagni"
"e affidai le armi al mio generale Belisario, che fu assistito dal cielo a tal punto che ciò fu segno che io dovessi fermarmi","e al mio Belisar commendai l’armi, cui la destra del ciel fu sì congiunta, che segno fu ch’i’ dovessi posarmi"
"ma la natura presenta la materia sempre in modo imperfetto, operando come l'artista che ha la mano tremante mentre esercita la sua arte","ma la natura la dà sempre scema, similemente operando a l’artista ch’a l’abito de l’arte ha man che trema"
"Da ciò puoi comprendere anche la vostra resurrezione della carne, se pensi che il corpo umano fu creato direttamente da Dio insieme ai primi progenitori","E quinci puoi argomentare ancora vostra resurrezion, se tu ripensi come l’umana carne fessi allora che li primi parenti intrambo fensi"
Allora l'altro rispose:,Ond’ei rispuose:
"Per favore, andiamo laggiù senza guida, se tu sai la strada","deh, sanza scorta andianci soli, se tu sa’ ir"
"Benedetto sia tu, o Dio uno e trino, che sei tanto cortese verso il mio discendente","Benedetto sia tu, trino e uno, che nel mio seme se’ tanto cortese"
"Quando fummo là dove la rugiada combatte col sole, poiché è in punto dove c'è ombra ed evapora poco, il mio maestro pose ambo le mani sull'erbetta, a palme aperte:allora io, che avevo capito cosa volesse fare, porsi verso di lui le guance ancora sporche di pianto: lui mi scoprì il colore del viso che l'Inferno aveva nascosto","Quando noi fummo là ‘ve la rugiada pugna col sole, per essere in parte dove, ad orezza, poco si dirada,  ambo le mani in su l’erbetta sparte soavemente ‘l mio maestro pose: ond’io, che fui accorto di sua arte,  porsi ver’ lui le guance lagrimose: ivi mi fece tutto discoverto quel color che l’inferno mi nascose"
"Ma ormai seguimi, poiché penso che dobbiamo andare","Ma seguimi oramai, che ’l gir mi piace"
"Non credano donna Berta e ser Martino che, se vedono un uomo che ruba e un altro che fa pie offerte, essi siano già giudicati da Dio","Non creda donna Berta e ser Martino, per vedere un furare, altro offerere, vederli dentro al consiglio divino"
"Cresce come un arbusto e una pianta selvatica: le Arpie, poi, nutrendosi delle sue foglie provocano dolore, e aprono una via attraverso la quale il dolore fuoriesce","Surge in vermena e in pianta silvestra: l’Arpie, pascendo poi de le sue foglie, fanno dolore, e al dolor fenestra"
,
Nessun tuo passo vada verso il basso,Nessun tuo passo caggia
"Io vidi nella stella di Giove le anime che vi erano ospitate e che sfolgoravano, formando delle lettere visibili ai miei occhi","Io vidi in quella giovial facella lo sfavillar de l’amor che lì era, segnare a li occhi miei nostra favella"
"Se io fossi stato protetto dal fuoco, mi sarei gettato tra loro nel sabbione e credo che il maestro l'avrebbe tollerato","S’i’ fossi stato dal foco coperto, gittato mi sarei tra lor di sotto, e credo che ’l dottor l’avrìa sofferto"
Poi iniziò:,Poi cominciò:
E lui a me:,Ed elli a me:
"Come il bue siciliano, che muggì per la prima volta coi lamenti di colui che l'aveva forgiato col suo lavoro, muggiva con la voce del torturato, tanto da sembrare trafitto dal dolore anche se era fatto di rame","Come ’l bue cicilian che mugghiò prima col pianto di colui, e ciò fu dritto, che l’avea temperato con sua lima,mugghiava con la voce de l’afflitto, sì che, con tutto che fosse di rame, pur el pareva dal dolor trafitto"
"e il mio desiderio fu espresso, proprio come volle Beatrice","e come volle Beatrice, fu la mia voglia confessa"
"O spiriti morti in grazia di Dio e scelti per la salvezza, in nome di quella pace che credo tutti voi attendiate, diteci dove la montagna è meno ripida, così che sia possibile salire","O ben finiti, o già spiriti eletti, per quella pace ch’i’ credo che per voi tutti s’aspetti,  ditene dove la montagna giace sì che possibil sia l’andare in suso"
allora io vidi i beati scintillare per la gioia di rispondermi,mi pinse con la forza del suo peso: per ch’io di coruscar vidi gran feste
"Quelle pietose braccia del cristo crocifisso, alle quali desidero affidarmi, le vedo ancora aperte in segno di perdono e accoglienza.","Quelle pietose braccia in ch' io mi fido, veggio aperte ancora."
"Ed è necessario che porti questo peso a causa sua, finché a Dio piacerà, qui tra i morti, poiché non lo feci tra vivi","E qui convien ch’io questo peso porti per lei, tanto che a Dio si sodisfaccia, poi ch’io nol fe’ tra ‘ vivi, qui tra ‘ morti"
Stessa sorte è toccata ai suoi ondulati capelli d'oro fino e al suo luminoso sorriso angelico: con essi ella riproduceva qui in terra la gioia paradisiaca.,"Le crespe chiome d' or puro lucente e 'l lampeggiar de l'angelico riso che solean fare in terra un paradiso, poca polvere son che nulla sente."
"Io mi fermai e vidi due dannati che con lo sguardo mostravano una gran fretta di raggiungermi, ma il peso delle cappe e la via stretta li ostacolava","Ristetti, e vidi due mostrar gran fretta de l’animo, col viso, d’esser meco, ma tardavali ’l carco e la via stretta"
"Solo come una tortora me ne voglio andar, voglio separare la mia vita in disperazione per l'eccesso dell'ingiustizia così grave che mi è stata fatta.","Soletto come tortula voi' gire, solo partir – mia vita in disperanza, per arroganza – di così gran torto."
Lui mi rispose:,Ed elli a me:
"Che andate pensando, voi tre soli",Che andate pensando sì voi sol tre
"Le foglie non erano verdi, ma di colore scuro","Non fronda verde, ma di color fosco"
"Se io, lettore, avessi più ampio spazio per scrivere, io descriverei almeno in parte il dolce sapore dell'acqua dell'Eunoè che non mi avrebbe mai saziato","S’io avessi, lettor, più lungo spazio da scrivere, i’ pur cantere’ in parte lo dolce ber che mai non m’avrìa sazio"
"Ricordati, spergiuro, del cavallo, e sia per te un tormento il fatto che lo sappia tutto il mondo","Ricorditi, spergiuro, del cavallo e sieti reo che tutto il mondo sallo"
"Tuttavia, rimossa ogni menzogna, rendi manifesto tutto ciò che hai visto","Ma nondimen, rimossa ogne menzogna, tutta tua vision fa manifesta"
"In quel luogo non può nulla, poiché esso è indipendente dai quattro elementi essenziali: risplende in lui l'eterna intellezione, non accoglie il piacere ma contempla, tanto da non produrre elementi di confronto.","In quella parte mai non ha pessanza perché da qualitate non descende: resplende, in sé perpetual effetto: non ha diletto, ma consideranza: sì che non pote largir simiglianza."
"infatti vengo dal Cerchio dove sono gli occhi puri di tua moglie Marzia, che a vederla sembra pregarti di considerarla ancora tua, o petto santo: in nome del suo amore, dunque, piegati a noi","ma son del cerchio ove son li occhi casti  di Marzia tua, che ‘n vista ancor ti priega, o santo petto, che per tua la tegni: per lo suo amore adunque a noi ti piega"
"E ciò che ora devo descrivere non fu mai pronunciato a voce, né scritto con l'inchiostro, né mai concepito dalla fantasia umana","E quel che mi convien ritrar testeso, non portò voce mai, né scrisse incostro, né fu per fantasia già mai compreso"
E iniziò:,E cominciò:
"Fu questa l'immagine che ebbi di lei l'ultima volta che la vidi in vita: ora sono assalito da tristi presentimenti e sogni e pensieri oscuri, e piaccia a dio che il mio sospettare risulti vano.","Cosí in dubbio lasciai la vita mia: or tristi auguri e sogni e penser' negri mi danno assalto, e piaccia a dio che 'nvano."
"Orsù, quando sarai tornato sulla Terra e avrai riposato per il lungo cammino","Deh, quando tu sarai tornato al mondo, e riposato de la lunga via"
"O lettore, tu vedi bene come io innalzo la materia del mio canto, perciò non stupirti se io la rafforzo con un'arte più raffinata","Lettor, tu vedi ben com’io innalzo la mia matera, e però con più arte non ti maravigliar s’io la rincalzo"
Lei rispose sorridendo:,Sorridendo rispuose:
"Ora conosci il nostro comportamento e di cosa fummo colpevoli: se forse vuoi conoscere i nomi di tutti noi, non c'è il tempo di dirteli e io non saprei farlo","Or sai nostri atti e di che fummo rei: se forse a nome vuo’ saper chi semo, tempo non è di dire, e non saprei"
"Venga per noi la pace del tuo regno, poiché noi non possiamo salire ad essa con le nostre forze, se non ci viene data, anche se ci impegniamo in ogni modo","Vegna ver’ noi la pace del tuo regno, ché noi ad essa non potem da noi, s’ella non vien, con tutto nostro ingegno"
"Un altro dannato, che aveva la gola squarciata, il naso mozzo fin sotto le ciglia ed era privo di un orecchio, fermatosi a guardarmi stupito come gli altri, prima degli altri aprì la canna della gola che fuori da ogni parte era rossa di sangue ,e disse:","Un altro, che forata avea la gola e tronco ’l naso infin sotto le ciglia, e non avea mai ch’una orecchia sola, ristato a riguardar per maraviglia con li altri, innanzi a li altri aprì la canna, ch’era di fuor d’ogni parte vermiglia, e disse:"
"che ti renderà piacevole la mia città, anche se tutti ne parlano male","che ti farà piacere la mia città, come ch’om la riprenda"
"Osanna, o santo Dio degli eserciti, che illumini dall'alto con la tua luce i beati fuochi di questi regni","Osanna, sanctus Deus sabaòth, superillustrans claritate tua felices ignes horum malacòth"
"Lo spazio fra loro era occupato da un carro trionfale, su due ruote, che procedeva trainato dal collo di un grifone","Lo spazio dentro a lor quattro contenne un carro, in su due rote, triunfale, ch’al collo d’un grifon tirato venne"
"Quel cerchio che sembrava nascere come da un riflesso, dopo essere stato a lungo osservato dai miei occhi, mi sembrò che avesse dipinta in esso, dello stesso colore, l'immagine umana: per questo avevo penetrato all'interno tutto il mio sguardo","Quella circulazion che sì concetta pareva in te come lume reflesso, da li occhi miei alquanto circunspetta, dentro da sé, del suo colore stesso, mi parve pinta de la nostra effige: per che ‘l mio viso in lei tutto era messo"
"Donna, l'amore mi spinge a dovervi confessare il mio amore, e ogni giorno che passa rafforza la mia passione: almeno ne ricevessi un compenso!","Donna, l'amor mi sforza ch'eo vi deggia contare com'eo so 'nnamorato, e ciascun giorno inforza la mia voglia d'amare: pur foss'eo meritato!"
"allora un diavolo si mosse, mentre gli altri stavano fermi, e giunse a lui dicendogli:","per ch’un si mosse, e li altri stetter fermi, e venne a lui dicendo:"
e io canterò di quel secondo regno in cui l'anima umana si purifica e diventa degna di salire al cielo,e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno
"Sono rimasto in balia di una sorte avversa e mi sento come una nave alla deriva, ormai priva di alberi e vele, senza la guida luminosa che ho tanto amato.",Rimaso senza 'l lume ch' amai tanto in gran fortuna e 'n disarmato legno.
"Io sono colui che tenni entrambe le chiavi del cuore di Federico II, e che le usai così bene nel chiudere e nell'aprire che esclusi dai suoi segreti quasi tutti: fui fedele al mio alto incarico, al punto che persi per questo la pace e la vita","Io son colui che tenni ambo le chiavi del cor di Federigo, e che le volsi, serrando e diserrando, sì soavi,  che dal secreto suo quasi ogn’uom tolsi: fede portai al glorioso offizio, tanto ch’i’ ne perde’ li sonni e ’ polsi"
"Se dico la verità, i fatti non lo nascondono","S’io dico ‘l ver, l’effetto nol nasconde"
E io provo gioia a morire per il suo amore.,Onde mi piace morir per su' amore.
"Poi mi sembrò che la terra si aprisse fra le due ruote, e vidi che ne usciva un drago che conficcò la coda su per il carro","Poi parve a me che la terra s’aprisse tr’ambo le ruote, e vidi uscirne un drago che per lo carro sù la coda fisse"
"Io ero abituato a questi ammonimenti per non perder tempo, così che su quell'argomento non poteva parlarmi in modo oscuro","Io era ben del suo ammonir uso pur di non perder tempo, sì che ‘n quella materia non potea parlarmi chiuso"
"Dopo che ebbi riconosciuto qualcuno di loro, vidi e riconobbi l'ombra di colui che per viltà fece il grande rifiuto","Poscia ch’io v’ebbi alcun riconosciuto, vidi e conobbi l’ombra di colui che fece per viltade il gran rifiuto"
L'anima deve assai riconoscente per l'onore di cui fu creduta essere degna in quel momento.,"Anima, assai ringraziar dei, che fosti a tanto onor degnata allora."
"O toscano, che sei venuto nella compagnia dei tristi ipocriti, non disdegnare di dirci chi sei","O Tosco, ch’al collegio de l’ipocriti tristi se’ venuto, dir chi tu se’ non avere in dispregio"
In seguito si fermarono nella 'M' della quinta parola,Poscia ne l’emme del vocabol quinto rimasero ordinate
Tu pensi il vero,Tu credi ‘l vero
Vuoi che lo colpisca sul groppone,Vuo’ che ’l tocchi in sul groppone
"Fin tanto che io fui in carne ed ossa, col corpo datomi da mia madre, le mie opere non furono improntate alla violenza ma all'astuzia","Mentre ch’io forma fui d’ossa e di polpe che la madre mi diè, l’opere mie non furon leonine, ma di volpe"
"Ma il suo gregge è diventato ghiotto di nuovi cibi, per cui è inevitabile che si disperda in diversi pascoli","Ma ‘l suo pecuglio di nova vivanda è fatto ghiotto, sì ch’esser non puote che per diversi salti non si spanda"
"parlano e ascoltano, poi sono precipitati giù","dicono e odono, e poi son giù volte"
dall'altra con la virtù di rafforzare il ricordo di ogni buona azione,da l’altra d’ogne ben fatto la rende
"Tu dovrai farle da marito, da padre: ogni aiuto si aspetta dalle tue mani, perché il pontefice è intento ad altre imprese.","Tu marito, tu padre: ogni soccorso di tua man s'attende, ché 'l maggior padre ad altr'opera intende."
Non mi tiene come cosa sua né mi lascia andare.,E non m'ancide amore e non mi sferra
"poi si rivolse, piena di desiderio, a quella parte dove il mondo è più luminoso",poi si rivolse tutta disiante a quella parte ove ‘l mondo è più vivo
"e io non ne compresi il senso, tanto mi assordò il tuono","né io lo ‘ntesi, sì mi vinse il tuono"
"Il buio dell'Inferno, o di una notte priva di qualunque stella, sotto un cielo oscuro quanto può esserlo quello di una notte coperta da nubi, non velò la mia vista come quel fumo che lì ci avvolse, né mi irritò gli occhi al punto da non poterli tenere aperti","Buio d’inferno e di notte privata d’ogne pianeto, sotto pover cielo, quant’esser può di nuvol tenebrata, non fece al viso mio sì grosso velo come quel fummo ch’ivi ci coperse, né a sentir di così aspro pelo, che l’occhio stare aperto non sofferse"
Penso proprio a questo,Vedi ch’a ciò penso
Così vedrò chiaramente come spesso l'uomo si affatichi vanamente dietro cose incerte e quanto spesso si desiderino beni vani.,"Sí vedrem chiaro poi come sovente per le cose dubbiose altri s'avanza, e come spesso indarno si sospira"
"Non appena il vento li portò verso di noi, iniziai a parlare:","Sì tosto come il vento a noi li piega, mossi la voce:"
da me sono nati i Filippi e i Luigi da cui la Francia è stata governata di recente,di me son nati i Filippi e i Luigi per cui novellamente è Francia retta
Il maestro mi disse:,Disse ’l maestro:
"il tuo arbitrio è libero dal peccato, giusto e sano, per cui sarebbe un errore non agire in base ad esso: dunque, io ti incorono signore di te stesso","libero, dritto e sano è tuo arbitrio, e fallo fora non fare a suo senno: per ch’io te sovra te corono e mitrio"
"Sappi insomma che furono tutti chierici e importanti letterati di gran fama, la cui vita fu lercia dello stesso peccato","In somma sappi che tutti fur cherci e litterati grandi e di gran fama, d’un peccato medesmo al mondo lerci"
"Barbariccia, avvilito insieme agli altri, ne fece volare quattro sull'altro argine con tutti gli uncini, e quelli scesero rapidamente da un lato e dall'altro nei punti loro assegnati","Barbariccia, con li altri suoi dolente, quattro ne fé volar da l’altra costa con tutt’i raffi, e assai prestamente di qua, di là discesero a la posta"
