italian,dante
"Così le parole misere si convertivano nel linguaggio del fuoco, perché all'inizio non trovavano una strada per uscire","Così, per non aver via né forame dal principio nel foco, in suo linguaggio si convertian le parole grame"
"Ma dopo che ebbero trovato una via d'uscita attraverso la punta, facendola muovere come la lingua al loro passaggio, sentimmo dire:","Ma poscia ch’ebber colto lor viaggio su per la punta, dandole quel guizzo che dato avea la lingua in lor passaggio,udimmo dire:"
"O tu a cui io rivolgo la voce, e che poc'anzi parlavi italiano dicendo ""adesso va' pure, non ti stimolo più"",non dispiacerti di trattenerti a parlare con me solo perché sono arrivato un po' dopo","O tu a cu’ io drizzo la voce e che parlavi mo lombardo, dicendo ""istra ten va, più non t’adizzo"",perch’io sia giunto forse alquanto tardo, non t’incresca restare a parlar meco"
"Vedi che a me non dispiace, e tuttavia brucio tra le fiamme","Vedi che non incresce a me, e ardo"
"Se tu sei finito in questo mondo oscuro da quella dolce terra d'italia dalla quale io reco tutta la mia colpa, dimmi se i romagnoli sono in pace o in guerra","Se tu pur mo in questo mondo cieco caduto se’ di quella dolce terra latina ond’io mia colpa tutta reco,dimmi se romagnuoli han pace o guerra"
Infatti io fui dei monti tra urbino e la cima da cui nasce il tevere,Ch’io fui d’i monti là intra orbino e ’l giogo di che tever si diserra
"Io ero ancora attento e chinato giù dal ponte, quando la mia guida mi toccò il fianco e mi disse:","Io era in giuso ancora attento e chino, quando il mio duca mi tentò di costa, dicendo:"
"Parla tu, questo è italiano","Parla tu, questi è latino"
"E io, che ero pronto a rispondere, iniziai a parlare senza esitazioni:","E io, ch’avea già pronta la risposta, sanza indugio a parlare incominciai:"
"O anima che sei nascosta dal fuoco laggiù, la tua romagna non è senza guerra nei cuori dei suoi tiranni","O anima che se’ là giù nascosta, romagna tua non è, e non fu mai, sanza guerra ne’ cuor de’ suoi tiranni"
Tuttavia non la lasciai impegnata in nessun conflitto dichiarato,Ma ’n palese nessuna or vi lasciai
"Ravenna è nella situazione in cui è da molti anni: l'aquila dei da polenta la domina, così che copre anche cervia con le sue ali","Ravenna sta come stata è molt’anni: l’aguglia da polenta la si cova, sì che cervia ricuopre co’ suoi vanni"
"La città che sostenne il lungo assedio e fece strage delle truppe francesi, è dominata dal leone rampante verde","La terra che fé già la lunga prova e di franceschi sanguinoso mucchio, sotto le branche verdi si ritrova"
"E il vecchio e il nuovo mastino da verrucchio, che fecero strage di montagna dei parcitati, usano i denti come succhiello là dove sono soliti farlo","E ’l mastin vecchio e ’l nuovo da verrucchio, che fecer di montagna il mal governo, là dove soglion fan d’i denti succhio"
"Le città dei fiumi lamone e santerno sono dominate dal leone in campo bianco, che muta alleanze dall'estate all'inverno","Le città di lamone e di santerno conduce il lioncel dal nido bianco, che muta parte da la state al verno"
"E la città il cui fianco è bagnato dal savio, così come sta tra la pianura e il monte, vive tra tirannide e stato libero","E quella cu’ il savio bagna il fianco, così com’ella sie’ tra ’l piano e ’l monte tra tirannia si vive e stato franco"
Ora ti prego di dirci chi sei,"Ora chi se’, ti priego che ne conte"
"Non essere più restio degli altri, se il tuo nome nel mondo conserva fama","Non esser duro più ch’altri sia stato, se ’l nome tuo nel mondo tegna fronte"
"Dopo che il fuoco ebbe ruggito per un po' alla sua maniera, la punta aguzza si agitò da una parte e dall'altra, poi pronunciò tali parole","Poscia che ’l foco alquanto ebbe rugghiato al modo suo, l’aguta punta mosse di qua, di là, e poi diè cotal fiato"
"Se io credessi di rispondere a qualcuno che possa tornare sulla terra, questa fiamma resterebbe quieta","S’i’ credesse che mia risposta fosse a persona che mai tornasse al mondo, questa fiamma staria sanza più scosse"
"Ma poiché dal fondo dell'inferno non è mai uscito vivo nessuno, se sento dire il vero, ti rispondo senza temere di essere infamato","Ma però che già mai di questo fondo non tornò vivo alcun, s’i’ odo il vero, sanza tema d’infamia ti rispondo"
"Io fui uomo d'armi, e poi divenni francescano, credendo di fare ammenda dei miei peccati cingendo il cordone","Io fui uom d’arme, e poi fui cordigliero, credendomi, sì cinto, fare ammenda"
"E certo quanto credevo si sarebbe avverato,non fosse stato per il papa, che dio lo maledica","E certo il creder mio venìa intero,se non fosse il gran prete, a cui mal prenda"
Il quale mi indusse nuovamente a peccare,Che mi rimise ne le prime colpe
E voglio che tu senta come e perché ciò avvenne,"E come e quare, voglio che m’intenda"
"Fin tanto che io fui in carne ed ossa, col corpo datomi da mia madre, le mie opere non furono improntate alla violenza ma all'astuzia","Mentre ch’io forma fui d’ossa e di polpe che la madre mi diè, l’opere mie non furon leonine, ma di volpe"
"Io conobbi tutti i trucchi e le vie nascoste, ed esercitai la loro arte in modo tale che la mia fama raggiunse i confini del mondo","Li accorgimenti e le coperte vie io seppi tutte, e sì menai lor arte, ch’al fine de la terra il suono uscie"
"Quando mi vidi giunto a quella fase della mia vita in cui ognuno dovrebbe ammainare le vele e raccogliere le sartie, ciò che prima mi piaceva mi dispiacque e mi feci frate, dopo essermi pentito e confessato","Quando mi vidi giunto in quella parte di mia etade ove ciascun dovrebbe calar le vele e raccoglier le sarte,ciò che pria mi piacea, allor m’increbbe, e pentuto e confesso mi rendei"
"Ah, povero me",Ahi miser lasso
Certo ciò mi avrebbe giovato,E giovato sarebbe
"Il principe dei nuovi farisei, mentre combatteva una guerra vicino al laterano, e non contro saraceni o giudei, poiché ogni suo nemico era cristiano, e nessuno di questi aveva assediato acri o aveva mercanteggiato nella terra del soldano","Lo principe d’i novi farisei, avendo guerra presso a laterano, e non con saracin né con giudei,ché ciascun suo nimico era cristiano, e nessun era stato a vincer acri né mercatante in terra di soldano"
"Non ebbe riguardo né per il suo supremo ufficio, né per gli ordini sacerdotali, né per quel cordone francescano che era solito rendere magri quelli che lo indossano","Né sommo officio né ordini sacri guardò in sé, né in me quel capestro che solea fare i suoi cinti più macri"
"Al contrario, come costantino chiamò a sé papa silvestro dal suo rifugio sul monte soratte per guarire dalla lebbra",Ma come costantin chiese silvestro d’entro siratti a guerir de la lebbre
Così lui chiamò me per guarire dalla sua terribile febbre,Così mi chiese questi per maestro a guerir de la sua superba febbre
Mi chiese un consiglio e io tacqui perché le sue mi sembravano le parole di un pazzo,"Domandommi consiglio, e io tacetti perché le sue parole parver ebbre"
"Egli mi disse: ""il tuo cuore non abbia timore: io ti assolvo fin d'ora, purché tu mi mostri come devo fare per abbattere la rocca di palestrina""","E’ poi ridisse: ""tuo cuor non sospetti finor t’assolvo, e tu m’insegna fare sì come penestrino in terra getti"""
"Io posso chiudere e aprire il cielo, come ben sai","Lo ciel poss’io serrare e diserrare, come tu sai"
Infatti due sono le chiavi che il mio predecessore non ebbe care,Però son due le chiavi che ’l mio antecessor non ebbe care
"Allora gli argomenti autorevoli mi convinsero, specie pensando che il tacere mi avrebbe procurato gravi conseguenze, e dissi: ""padre, dal momento che tu mi assolvi da quel peccato nel quale debbo ricadere, promettere molto e mantenere poco ti farà trionfare nel trono pontificio""","Allor mi pinser li argomenti gravi là ’ve ’l tacer mi fu avviso ’l peggio, e dissi: ""padre, da che tu mi lavidi quel peccato ov’io mo cader deggio, lunga promessa con l’attender corto ti farà triunfar ne l’alto seggio"""
"Non appena morii, poi, san francesco venne a prendere la mia anima","Francesco venne poi com’io fu’ morto, per me"
"Ma un diavolo gli disse: ""non portarla via: non farmi torto""","Ma un d’i neri cherubini li disse: ""non portar: non mi far torto"""
"Egli deve venire giù tra i miei dannati, perché diede il consiglio fraudolento per il quale, da allora a oggi, gli sono stato alle costole","Venir se ne dee giù tra ’ miei meschini perché diede ’l consiglio frodolente, dal quale in qua stato li sono a’ crini"
"Infatti non può essere assolto chi non si pente, e non è possibile pentirsi e voler peccare al tempo stesso, perché è una contraddizione in termini""","Ch’assolver non si può chi non si pente, né pentere e volere insieme puossi per la contradizion che nol consente"""
"Ah, povero me",Oh me dolente
"Come mi scossi quando mi prese, dicendomi: ""forse tu non pensavi che io fossi filosofo""","Come mi riscossi quando mi prese dicendomi: ""forse tu non pensavi ch’io loico fossi"""
Mi portò davanti a minosse,A minòs mi portò
E quello attorcigliò la coda otto volte attorno alla schiena dura,E quelli attorse otto volte la coda al dosso duro
"E dopo essersela morsa per la gran rabbia, disse: ""questo deve andare tra i peccatori del fuoco che li sottrae alla vista""","E poi che per gran rabbia la si morse,disse: ""questi è d’i rei del foco furo"""
"Ed ecco perché sono perduto qui dove mi vedi, e avvolto così dalle fiamme mi dolgo camminando","Per ch’io là dove vedi son perduto, e sì vestito, andando, mi rancuro"
"Quando il dannato ebbe finito di parlare, la fiamma si allontanò dolorante, torcendo e sbattendo la punta aguzza","Quand’elli ebbe ’l suo dir così compiuto, la fiamma dolorando si partio, torcendo e dibattendo ’l corno aguto"
"Noi andammo oltre, su per il ponte fino al successivo che sovrasta la bolgia in cui sono puniti quelli che, seminando discordie, si gravano di peccato","Noi passamm’oltre, e io e ’l duca mio, su per lo scoglio infino in su l’altr’arco che cuopre ’l fosso in che si paga il fio a quei che scommettendo acquistan carco"
"Chi mai potrebbe, anche in prosa e reiterando la narrazione, descrivere pienamente il sangue e le piaghe che io vidi","Chi poria mai pur con parole sciolte dicer del sangue e de le piaghe a pieno ch’i’ ora vidi, per narrar più volte"
"Ogni lingua verrebbe certamente meno, a causa del nostro linguaggio e della nostra mente che hanno poca capacità di comprendere tutto questo",Ogne lingua per certo verria meno per lo nostro sermone e per la mente c’hanno a tanto comprender poco seno
"Se anche si radunasse tutta la gente che nella terra travagliata dell'italia del sud versò il proprio sangue per i romani e nella lunga guerra che produsse un gran bottino di anelli, come scrive livio che non sbaglia","S’el s’aunasse ancor tutta la gente che già in su la fortunata terra di puglia, fu del suo sangue dolente per li troiani e per la lunga guerra che de l’anella fé sì alte spoglie, come livio scrive, che non erra"
Con quella gente che fu dolorosamente colpita per opporsi a roberto il guiscardo,Con quella che sentio di colpi doglie per contastare a ruberto guiscardo
"E con l'altra gente le cui ossa ancora si raccolgono a ceprano, là dove ogni barone pugliese fu traditore, e là a tagliacozzo dove il vecchio alardo vinse con la sua saggezza","E l’altra il cui ossame ancor s’accoglie a ceperan, là dove fu bugiardo ciascun pugliese, e là da tagliacozzo, dove sanz’arme vinse il vecchio alardo"
"E se ognuno mostrasse le sue membra trafitte o mozzate, non sarebbe sufficiente a eguagliare l'aspetto orrendo della ix bolgia","E qual forato suo membro e qual mozzo mostrasse, d’aequar sarebbe nulla il modo de la nona bolgia sozzo"
"Una botte, priva delle doghe del fondo, non è bucata così come io vidi un dannato tagliato dal mento fin dove si scorreggia","Già veggia, per mezzul perdere o lulla, com’io vidi un, così non si pertugia, rotto dal mento infin dove si trulla"
Gli pendevano le interiora tra le gambe,Tra le gambe pendevan le minugia
Si vedevano gli organi interni e il ripugnante sacco che trasforma in escrementi ciò che si mangia,La corata pareva e ’l tristo sacco che merda fa di quel che si trangugia
"Mentre io fissavo lo sguardo su di lui, egli mi guardò a sua volta e si aprì il petto con le mani, dicendo:","Mentre che tutto in lui veder m’attacco, guardommi, e con le man s’aperse il petto, dicendo:"
Adesso vedi come sono squarciato,Or vedi com’io mi dilacco
Vedi come è mutilato maometto,Vedi come storpiato è maometto
"Davanti a me se ne va piangendo alì, col volto squarciato dal mento sino alla fronte","Dinanzi a me sen va piangendo alì, fesso nel volto dal mento al ciuffetto"
"E tutti gli altri che tu vedi in questo luogo, furono in vita seminatori di scandalo e scisma, e perciò sono così mutilati","E tutti li altri che tu vedi qui, seminator di scandalo e di scisma fuor vivi, e però son fessi così"
"Qua dietro c'è un diavolo che ci acconcia così crudelmente, sottoponendo di nuovo al taglio della spada ciascun dannato di questa schiera, una volta che abbiamo completato il triste giro della bolgia","Un diavolo è qua dietro che n’accisma sì crudelmente, al taglio de la spada rimettendo ciascun di questa risma, quand’avem volta la dolente strada"
"Infatti, prima che ognuno torni di nuovo davanti a lui, le ferite sono rimarginate",Però che le ferite son richiuse prima ch’altri dinanzi li rivada
"Ma che sei tu, che ti attardi sul ponte forse per indugiare di sottoporti alla pena che ti è inflitta per le tue colpe","Ma tu chi se’ che ’n su lo scoglio muse, forse per indugiar d’ire a la pena ch’è giudicata in su le tue accuse"
Il mio maestro gli rispose:,Rispuose ’l mio maestro:
"Questi non è ancora morto, né alcuna colpa lo conduce qui ai tormenti","Né morte ’l giunse ancor, né colpa ’l mena a tormentarlo"
"Ma io, che sono morto, devo condurlo attraverso l'inferno di cerchio in cerchio per mostrargli pienamente questo luogo","Ma per dar lui esperienza piena, a me, che morto son, convien menarlo per lo ’nferno qua giù di giro in giro"
E ciò è vero come il fatto che ti parlo,E quest’è ver così com’io ti parlo
"Ci furono più di cento dannati che, quando lo sentirono, si fermarono nel fossato a guardarmi meravigliati, dimenticando la loro pena","Più fuor di cento che, quando l’udiro, s’arrestaron nel fosso a riguardarmi per maraviglia obliando il martiro"
"Allora tu, che forse tra poco tornerai sulla terra, di' a fra dolcino che se non vuole raggiungermi presto si procuri molti viveri, così che un inverno rigido non porti ai novaresi una vittoria che altrimenti sarebbe difficile da ottenere","Or dì a fra dolcin dunque che s’armi, tu che forse vedra’ il sole in breve, s’ello non vuol qui tosto seguitarmi, sì di vivanda, che stretta di neve non rechi la vittoria al noarese, ch’altrimenti acquistar non sarìa leve"
"Dopo che ebbe alzato in aria un piede per andarsene, maometto mi disse queste parole","Poi che l’un piè per girsene sospese, maometto mi disse esta parola"
Quindi lo posò a terra per allontanarsi,Indi a partirsi in terra lo distese
"Un altro dannato, che aveva la gola squarciata, il naso mozzo fin sotto le ciglia ed era privo di un orecchio, fermatosi a guardarmi stupito come gli altri, prima degli altri aprì la canna della gola che fuori da ogni parte era rossa di sangue ,e disse:","Un altro, che forata avea la gola e tronco ’l naso infin sotto le ciglia, e non avea mai ch’una orecchia sola, ristato a riguardar per maraviglia con li altri, innanzi a li altri aprì la canna, ch’era di fuor d’ogni parte vermiglia, e disse:"
"O tu che non sei dannato da alcuna colpa e che io conobbi in italia, se un'eccessiva somiglianza non mi inganna, ricordati di pier da medicina, se mai tornerai a vedere la dolce pianura che digrada da vercelli a marcabò","O tu cui colpa non condanna e cu’ io vidi su in terra latina, se troppa simiglianza non m’inganna, rimembriti di pier da medicina, se mai torni a veder lo dolce piano che da vercelli a marcabò dichina"
"E fa' sapere ai due migliori uomini di fano, a messer guido del cassero e anche ad angiolello da carignano, che, se la nostra preveggenza non è vana, saranno scaraventati fuori della loro nave e gettati in un sacco legato a una pietra presso cattolica, per il tradimento di un feroce tiranno","E fa saper a’ due miglior da fano, a messer guido e anco ad angiolello, che, se l’antiveder qui non è vano, gittati saran fuor di lor vasello e mazzerati presso a la cattolica per tradimento d’un tiranno fello"
"Nettuno non ha mai visto un così grave delitto in tutto il mediterraneo, non commesso da pirati o da predoni di argo","Tra l’isola di cipri e di maiolica non vide mai sì gran fallo nettuno, non da pirate, non da gente argolica"
"Quel traditore che vede solo con un occhio e che governa la terra che un dannato qui con me vorrebbe non avere visto mai, li indurrà a venire a parlare con lui","Quel traditor che vede pur con l’uno, e tien la terra che tale qui meco vorrebbe di vedere esser digiuno, farà venirli a parlamento seco"
Poi farà in modo che a loro non servano preghiere e voti contro i venti di focara,"Poi farà sì, ch’al vento di focara non sarà lor mestier voto né preco"
E io a lui:,E io a lui:
"Mostrami e dimmi, se vuoi che parli di te sulla terra, chi è colui che fu danneggiato dall'aver visto rimini","Dimostrami e dichiara, se vuo’ ch’i’ porti sù di te novella, chi è colui da la veduta amara"
"Allora mise la mano sulla mascella di un suo compagno e gli aprì la bocca, gridando:","Allor puose la mano a la mascella d’un suo compagno e la bocca li aperse, gridando:"
"È questo qui, e non parla","Questi è desso, e non favella"
"Questi, scacciato da roma, spense ogni dubbio in cesare, affermando che chi è pronto ad agire riportò sempre danni nell'attendere","Questi, scacciato, il dubitar sommerse in cesare, affermando che ’l fornito sempre con danno l’attender sofferse"
"Oh, quanto mi sembrava sbalordito curione, con la lingua mozzata nella gola, lui che fu così pronto a parlare","Oh quanto mi pareva sbigottito con la lingua tagliata ne la strozza curio, ch’a dir fu così ardito"
"E un altro, che aveva entrambe le mani mozzate e levava i moncherini in aria facendo ricadere il sangue sul suo volto, gridò:","E un ch’avea l’una e l’altra man mozza, levando i moncherin per l’aura fosca, sì che ’l sangue facea la faccia sozza, gridò:"
"Ti ricorderai anche di mosca dei lamberti, che disse - ahimè","Ricordera’ti anche del mosca, che disse, lasso"
"""cosa fatta capo ha"", che causò tanto male alla gente di toscana","""capo ha cosa fatta"", che fu mal seme per la gente tosca"
E io aggiunsi:,E io li aggiunsi:
E causò anche la fine della tua famiglia,E morte di tua schiatta
"E allora lui, aggiungendo dolore a dolore, se ne andò come una persona triste e fuori di sé","Per ch’elli, accumulando duol con duolo, sen gio come persona trista e matta"
"Ma io rimasi a guardare la schiera delle anime, e vidi una cosa che avrei timore a riferire da solo, senza addurre altre prove","Ma io rimasi a riguardar lo stuolo, e vidi cosa, ch’io avrei paura, sanza più prova, di contarla solo"
"Se non che sono confortato dalla mia buona fede, che accompagna l'uomo e lo rende coraggioso proteggendolo con la difesa dell'avere la coscienza pura","Se non che coscienza m’assicura, la buona compagnia che l’uom francheggia sotto l’asbergo del sentirsi pura"
"Io vidi di certo, e mi sembra di vederlo ancora, un tronco privo del capo che procedeva insieme agli altri di quel tristo gregge","Io vidi certo, e ancor par ch’io ’l veggia, un busto sanza capo andar sì come andavan li altri de la trista greggia"
"E teneva la testa mozzata per i capelli, penzoloni come una lanterna","E ’l capo tronco tenea per le chiome, pesol con mano a guisa di lanterna"
E quella ci guardava e diceva:,E quel mirava noi e dicea:
Ahimè,Oh me
"Faceva lume a se stesso con una parte di sé ed erano due individui e uno solo al tempo stesso: come può avvenire questo, lo sa colui che lo rende possibile","Di sé facea a sé stesso lucerna, ed eran due in uno e uno in due: com’esser può, quei sa che sì governa"
"Quando fu presso il ponte, alzò il braccio con tutta la testa per rivolgerci le sue parole, che furono queste:","Quando diritto al piè del ponte fue, levò ’l braccio alto con tutta la testa, per appressarne le parole sue, che fuoro:"
"Ora vedi la mia pena dolorosa, tu che visiti i morti da vivo: vedi se ce n'è un'altra grande come questa","Or vedi la pena molesta tu che, spirando, vai veggendo i morti: vedi s’alcuna è grande come questa"
"E affinché tu porti notizie di me, sappi che sono bertran de born, quello che diede al giovane re i cattivi consigli","E perché tu di me novella porti, sappi ch’i’ son bertram dal bornio, quelli che diedi al re giovane i ma’ conforti"
"Io spinsi il figlio contro il padre: achitofel non fece cosa diversa con assalonne e david, con malvagi incitamenti",Io feci il padre e ’l figlio in sé ribelli: achitofèl non fé più d’absalone e di davìd coi malvagi punzelli
"E poiché io ho diviso persone così unite, porto il mio cervello, me misero","Perch’io parti’ così giunte persone, partito porto il mio cerebro, lasso"
Diviso dal midollo spinale che è in questo troncone,Dal suo principio ch’è in questo troncone
Così in me è evidente il contrappasso,Così s’osserva in me lo contrapasso
"I molti dannati e le orribili piaghe avevano riempito di lacrime i miei occhi, al punto che desideravano mettersi a piangere","La molta gente e le diverse piagheavean le luci mie sì inebrïate, che de lo stare a piangere eran vaghe"
Ma virgilio mi disse:,Ma virgilio mi disse:
Perché continui a guardare,Che pur guate
"Perché il tuo sguardo si sofferma laggiù, tra le anime mutilate",Perché la vista tua pur si soffolge là giù tra l’ombre triste smozzicate
Tu non hai fatto così nelle altre bolge,Tu non hai fatto sì a l’altre bolge
"Nel caso volessi contarle, pensa che la circonferenza della voragine qui è di ventidue miglia","Pensa, se tu annoverar le credi, che miglia ventidue la valle volge"
E la luna è ormai sotto i nostri piedi: il tempo che ci è concesso è poco e tu devi ancora vedere dell'altro,"E già la luna è sotto i nostri piedi: lo tempo è poco omai che n’è concesso, e altro è da veder che tu non vedi"
Io risposi subito dopo:,Rispuos’io appresso:
"Se tu avessi saputo la ragione per cui  guardavo, forse mi avresti concesso di trattenermi ancora","Se tu avessi atteso a la cagion perch’io guardava, forse m’avresti ancor lo star dimesso"
"Intanto la mia guida se ne andava e io lo seguivo, continuando a rispondere e aggiungendo:","Parte sen giva, e io retro li andava, lo duca, già faccendo la risposta, e soggiugnendo:"
"Dentro quella fossa dove poco fa tenevo fissi gli occhi, credo che uno spirito mio consanguineo espii la colpa che laggiù si sconta tanto gravemente","Dentro a quella cava dov’io tenea or li occhi sì a posta, credo ch’un spirto del mio sangue pianga la colpa che là giù cotanto costa"
Allora il maestro disse:,Allor disse ’l maestro:
"Il tuo pensiero non si tormenti, d'ora in avanti, su di lui",Non si franga lo tuo pensier da qui innanzi sovr’ello
"Pensa ad altro, e quello rimanga dov'è","Attendi ad altro, ed ei là si rimanga"
"Infatti io lo vidi ai piedi del ponte che ti indicava col dito, e ti minacciava, e sentii che lo chiamavano geri del bello","Ch’io vidi lui a piè del ponticello mostrarti, e minacciar forte, col dito, e udi’ ’l nominar geri del bello"
"Allora tu eri a tal punto impegnato ad ascoltare bertran de born, colui che tenne il castello di hautefort, che non guardasti verso di lui finché se ne fu andato","Tu eri allor sì del tutto impedito sovra colui che già tenne altaforte, che non guardasti in là, sì fu partito"
Io dissi:,Diss’io:
"O mio maestro, la sua morte violenta che non è ancora stata vendicata da nessuno che, in quanto membro della sua consorteria, ne condivida l'onta, lo rese disdegnoso","O duca mio, la violenta morte che non li è vendicata ancor per alcun che de l’onta sia consorte, fece lui disdegnoso"
"Ecco perché se ne andò senza parlarmi, come io credo: e questo mi ha reso più pietoso verso di lui","Ond’el sen gio sanza parlarmi, sì com’io estimo: e in ciò m’ha el fatto a sé più pio"
"Parlammo così fino al primo punto del ponte da cui si vedrebbe tutta l'altra bolgia fino in fondo, se solo ci fosse più luce","Così parlammo infino al loco primo che de lo scoglio l’altra valle mostra, se più lume vi fosse, tutto ad imo"
"Quando giungemmo sopra l'ultima fossa delle malebolge, così che i suoi dannati potevano essere visti da noi, vari lamenti che inducevano alla pietà mi colpirono e mi spinsero a tapparmi le orecchie con le mani","Quando noi fummo sor l’ultima chiostra di malebolge, sì che i suoi conversi potean parere a la veduta nostra, lamenti saettaron me diversi, che di pietà ferrati avean li strali ond’io li orecchi con le man copersi"
"Se dagli ospedali della valdichiana, di maremma e di sardegna tra luglio e settembre si radunassero tutti i malati in un sol luogo, si vedrebbe una sofferenza simile a quella che c'era nella bolgia e il puzzo che ne usciva era simile a quello delle membra in putrefazione","Qual dolor fora, se de li spedali, di valdichiana tra ’l luglio e ’l settembre e di maremma e di sardigna i mali fossero in una fossa tutti ’nsembre, tal era quivi, e tal puzzo n’usciva qual suol venir de le marcite membre"
"Noi scendemmo sull'ultimo argine del lungo ponte, sempre procedendo a sinistra","Noi discendemmo in su l’ultima riva del lungo scoglio, pur da man sinistra"
"E allora il mio sguardo si poté indirizzare sul fondo, dove la giustizia divina, infallibile ministra di dio, punisce i falsari che annota sulla terra quando peccano","E allor fu la mia vista più viva giù ver lo fondo, la ’ve la ministra de l’alto sire infallibil giustizia punisce i falsador che qui registra"
"A egina, quando l'aria fu talmente satura di peste che tutti gli animali furono uccisi sino al più piccolo verme, e le genti antiche, secondo la testimonianza dei poeti, si ripopolarono con le formiche","Non credo ch’a veder maggior tristizia fosse in egina il popol tutto infermo, quando fu l’aere sì pien di malizia, che li animali, infino al picciol vermo, cascaron tutti, e poi le genti antiche, secondo che i poeti hanno per fermo, si ristorar di seme di formiche"
"Non credo che la visione di tutto il popolo ammalato fosse più triste di quella dell'oscura fossa, dove gli spiriti languivano ammassati in mucchi",Ch’era a veder per quella oscura valle languir li spirti per diverse biche
"Giacevano l'uno sull'altro, sul ventre e sulle spalle, e alcuni avanzavano carponi in quel triste luogo","Qual sovra ’l ventre, e qual sovra le spalle l’un de l’altro giacea, e qual carpone si trasmutava per lo tristo calle"
"Noi procedevano a passi lenti senza parlare, guardando e ascoltando gli ammalati che non potevano alzarsi","Passo passo andavam sanza sermone, guardando e ascoltando li ammalati, che non potean levar le lor persone"
"Io ne vidi due che sedevano appoggiati l'uno all'altro, come si mettono due tegami sul fuoco, coperti di croste dalla testa ai piedi","Io vidi due sedere a sé poggiati, com’a scaldar si poggia tegghia a tegghia, dal capo al piè di schianze macolati"
"E non vidi mai un garzone atteso dal suo signore, o uno stalliere che veglia malvolentieri, usare la striglia come ognuno di loro usava le unghie su di sé per la smania del pizzicore, che non aveva altro sollievo","E non vidi già mai menare stregghia a ragazzo aspettato dal segnorso, né a colui che mal volontier vegghia, come ciascun menava spesso il morso de l’unghie sopra sé per la gran rabbia del pizzicor, che non ha più soccorso"
"E si toglievano la scabbia con le unghie come un coltello toglie le squame della scardova, o di un altro pesce che le abbia più larghe","E sì traevan giù l’unghie la scabbia, come coltel di scardova le scaglie o d’altro pesce che più larghe l’abbia"
Il mio maestro iniziò a dire a uno di loro:,Cominciò ’l duca mio a l’un di loro:
"O tu che ti scrosti con le dita, e che le usi talvolta come tenaglie, dicci se tra questi dannati qui dentro ci sono italiani, e possano le unghie bastarti in eterno per questo lavoro","O tu che con le dita ti dismaglie, e che fai d’esse talvolta tanaglie, dinne s’alcun latino è tra costoro che son quinc’entro, se l’unghia ti basti etternalmente a cotesto lavoro"
Uno dei due rispose piangendo:,Rispuose l’un piangendo:
"Siamo entrambi italiani, che tu vedi qui così deturpati","Latin siam noi, che tu vedi sì guasti qui ambedue"
"Ma tu chi sei, che ci domandi queste cose",Ma tu chi se’ che di noi dimandasti
Il maestro rispose:,E ’l duca disse:
Io sono uno che scendo con questo vivo di cerchio in cerchio e il mio scopo è mostrargli l'inferno,"I’ son un che discendo con questo vivo giù di balzo in balzo, e di mostrar lo ’nferno a lui intendo"
Allora i due smisero di appoggiarsi a vicenda,Allor si ruppe lo comun rincalzo
"E, tremando, ognuno di loro si rivolse a me, insieme ad altri che udirono la cosa indirettamente",E tremando ciascuno a me si volse con altri che l’udiron di rimbalzo
Il buon maestro si avvicinò a me e disse:,"Lo buon maestro a me tutto s’accolse, dicendo:"
Di' a loro quello che vuoi,Dì a lor ciò che tu vuoli
"E io iniziai a parlare, poiché così voleva","E io incominciai, poscia ch’ei volse"
"Possa il vostro ricordo non scomparire dalle menti umane nel mondo, ma invece sopravvivere per molti anni","Se la vostra memoria non s’imboli nel primo mondo da l’umane menti, ma s’ella viva sotto molti soli"
Ditemi chi siete e da dove venite,Ditemi chi voi siete e di che genti
La vostra pena orribile e fastidiosa non vi dia timore a presentarvi a me,La vostra sconcia e fastidiosa pena di palesarvi a me non vi spaventi
Uno rispose:,Rispuose l’un:
Io fui di arezzo e albero da siena mi condannò la rogo,"Io fui d’arezzo, e albero da siena mi fé mettere al foco"
Ma ciò per cui io morii non è la colpa che mi porta qui,Ma quel per ch’io mori’ qui non mi mena
"È pur vero che io gli dissi scherzando: ""saprei levarmi in aria in volo""","Vero è ch’i’ dissi lui, parlando a gioco: ""i’ mi saprei levar per l’aere a volo"""
"E quello, che era capriccioso e aveva poco senno, volle che io gli mostrassi quell'arte","E quei, ch’avea vaghezza e senno poco, volle ch’i’ li mostrassi l’arte"
"E solo per il fatto che non mi tramutai in dedalo, mi fece bruciare da un tale che lo considerava suo figlio","E solo perch’io nol feci dedalo, mi fece ardere a tal che l’avea per figliuolo"
"Ma minosse, a cui non è lecito sbagliare, mi condannò nell'ultima delle dieci bolge per l'alchimia che praticai nel mondo","Ma nell ’ultima bolgia de le diece me per l’alchìmia che nel mondo usai dannò minòs, a cui fallar non lece"
E io dissi al poeta:,E io dissi al poeta:
Si è mai visto un popolo sciocco e frivolo come quello senese,Or fu già mai gente sì vana come la sanese
Certo non lo è maggiormente quello francese,Certo non la francesca sì d’assai
"Allora l'altro lebbroso, che mi sentì, rispose alle mie parole:","Onde l’altro lebbroso, che m’intese, rispuose al detto mio:"
